line,col,seq,par,absdiff
18,3,0.082735,0.08642,0.003684999999999994
36,3,0.445227,0.441815,0.0034119999999999706
77,5,-28.403409,-28.406659,0.0032500000000013074
35,3,0.312141,0.309059,0.003082000000000029
66,3,0.224713,0.227657,0.002944000000000002
2,4,0.417103,0.414301,0.0028020000000000267
18,4,0.417103,0.414301,0.0028020000000000267
20,3,0.214522,0.212209,0.0023129999999999817
132,4,0.506793,0.508785,0.0019919999999999938
148,4,0.506793,0.508785,0.0019919999999999938
19,3,0.136532,0.134676,0.0018559999999999965
51,3,0.335216,0.333396,0.0018199999999999883
82,3,0.16079,0.162408,0.0016180000000000083
52,3,0.396184,0.394583,0.0016009999999999636
128,4,0.483867,0.485229,0.0013620000000000299
