itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
[ITER 37][CUDA] D2H = 0.000000 ms
[ITER 37][CUDA] timestep_total = 16970.015625 ms
[ITER 38][CUDA] kernel_solve_U = 23837.095703 ms
[ITER 38][CUDA] kernel_solve_V = 24345.480469 ms
[ITER 38][CUDA] kernel_solve_P = 2800.771484 ms
[ITER 38][CUDA] kernel_solve_Z = 8594.928711 ms
[ITER 38][CUDA] kernel_solve_C = 8996.168945 ms
[ITER 38][CUDA] H2D = 0.000000 ms
[ITER 38][CUDA] D2H = 0.000000 ms
[ITER 38][CUDA] timestep_total = 69864.726562 ms
[ITER 39][CUDA] kernel_solve_U = 2455.750000 ms
[ITER 39][CUDA] kernel_solve_V = 2507.552979 ms
[ITER 39][CUDA] kernel_solve_P = 287.900635 ms
[ITER 39][CUDA] kernel_solve_Z = 885.206970 ms
[ITER 39][CUDA] kernel_solve_C = 926.304871 ms
[ITER 39][CUDA] H2D = 0.000000 ms
[ITER 39][CUDA] D2H = 0.000000 ms
[ITER 39][CUDA] timestep_total = 7195.739258 ms
[ITER 40][CUDA] kernel_solve_U = 381.550629 ms
[ITER 40][CUDA] kernel_solve_V = 389.479858 ms
[ITER 40][CUDA] kernel_solve_P = 44.656338 ms
[ITER 40][CUDA] kernel_solve_Z = 137.495560 ms
[ITER 40][CUDA] kernel_solve_C = 143.894196 ms
[ITER 40][CUDA] H2D = 0.000000 ms
[ITER 40][CUDA] D2H = 0.000000 ms
[ITER 40][CUDA] timestep_total = 1117.648071 ms
[ITER 41][CUDA] kernel_solve_U = 808.925659 ms
[ITER 41][CUDA] kernel_solve_V = 825.881897 ms
[ITER 41][CUDA] kernel_solve_P = 94.524132 ms
[ITER 41][CUDA] kernel_solve_Z = 291.677673 ms
[ITER 41][CUDA] kernel_solve_C = 305.094360 ms
[ITER 41][CUDA] H2D = 0.000000 ms
[ITER 41][CUDA] D2H = 0.000000 ms
[ITER 41][CUDA] timestep_total = 2369.824707 ms
[ITER 42][CUDA] kernel_solve_U = 889.504395 ms
[ITER 42][CUDA] kernel_solve_V = 908.383606 ms
[ITER 42][CUDA] kernel_solve_P = 104.038277 ms
[ITER 42][CUDA] kernel_solve_Z = 320.679657 ms
[ITER 42][CUDA] kernel_solve_C = 335.553131 ms
[ITER 42][CUDA] H2D = 0.000000 ms
[ITER 42][CUDA] D2H = 0.000000 ms
[ITER 42][CUDA] timestep_total = 2606.333984 ms
[ITER 43][CUDA] kernel_solve_U = 916.825134 ms
[ITER 43][CUDA] kernel_solve_V = 936.177063 ms
[ITER 43][CUDA] kernel_solve_P = 107.277298 ms
[ITER 43][CUDA] kernel_solve_Z = 330.410187 ms
[ITER 43][CUDA] kernel_solve_C = 345.789795 ms
[ITER 43][CUDA] H2D = 0.000000 ms
[ITER 43][CUDA] D2H = 0.000000 ms
[ITER 43][CUDA] timestep_total = 2686.024658 ms
[ITER 44][CUDA] kernel_solve_U = 966.167542 ms
[ITER 44][CUDA] kernel_solve_V = 986.658142 ms
[ITER 44][CUDA] kernel_solve_P = 113.160309 ms
[ITER 44][CUDA] kernel_solve_Z = 348.398590 ms
[ITER 44][CUDA] kernel_solve_C = 364.496490 ms
[ITER 44][CUDA] H2D = 0.000000 ms
[ITER 44][CUDA] D2H = 0.000000 ms
[ITER 44][CUDA] timestep_total = 2831.267822 ms
[ITER 45][CUDA] kernel_solve_U = 1031.734863 ms
