-5.940887 -0.370640 -nan -nan -nan -nan -nan
-5.940887 -0.322599 -nan -nan -nan -nan -nan
-5.940887 -0.274566 -nan -nan -nan -nan -nan
-5.940887 -0.226541 -nan -nan -nan -nan -nan
-5.940887 -0.178521 -nan -nan -nan -nan -nan
-5.940887 -0.130506 -nan -nan -nan -nan -nan
-5.940887 -0.082494 -nan -nan -nan -nan -nan
-5.940887 -0.034483 -nan -nan -nan -nan -nan
-5.940887 0.013528 -nan -nan -nan -nan -nan
-5.940887 0.061540 -nan -nan -nan -nan -nan
-5.940887 0.109555 -nan -nan -nan -nan -nan
-5.940887 0.157575 -nan -nan -nan -nan -nan
-5.940887 0.205600 -nan -nan -nan -nan -nan
-5.940887 0.253633 -nan -nan -nan -nan -nan
-5.940887 0.301674 -nan -nan -nan -nan -nan
-5.940887 0.349725 -nan -nan -nan -nan -nan
-5.940887 0.397788 -nan -nan -nan -nan -nan
-5.940887 0.445863 -nan -nan -nan -nan -nan
-5.940887 0.493954 -nan -nan -nan -nan -nan
-5.940887 0.542060 -nan -nan -nan -nan -nan
-5.940887 0.590183 -nan -nan -nan -nan -nan
-5.940887 0.638325 -nan -nan -nan -nan -nan
-5.940887 0.686487 -nan -nan -nan -nan -nan
-5.940887 0.734670 -nan -nan -nan -nan -nan
-5.940887 0.782877 -nan -nan -nan -nan -nan
-5.940887 0.831108 -nan -nan -nan -nan -nan
-5.940887 0.879365 -nan -nan -nan -nan -nan
-5.940887 0.927649 -nan -nan -nan -nan -nan
-5.940887 0.975962 -nan -nan -nan -nan -nan
-5.940887 1.024304 -nan -nan -nan -nan -nan
-5.940887 1.072678 -nan -nan -nan -nan -nan
-5.940887 1.121085 -nan -nan -nan -nan -nan
-5.940887 1.169527 -nan -nan -nan -nan -nan
-5.940887 1.218004 -nan -nan -nan -nan -nan
-5.940887 1.266517 -nan -nan -nan -nan -nan
-5.940887 1.315070 -nan -nan -nan -nan -nan
-5.940887 1.363662 -nan -nan -nan -nan -nan
-5.940887 1.412295 -nan -nan -nan -nan -nan
-5.940887 1.460971 -nan -nan -nan -nan -nan
-5.940887 1.509690 -nan -nan -nan -nan -nan
-5.940887 1.558455 -nan -nan -nan -nan -nan
-5.940887 1.607267 -nan -nan -nan -nan -nan
-5.940887 1.656126 -nan -nan -nan -nan -nan
-5.940887 1.705034 -nan -nan -nan -nan -nan
-5.940887 1.753994 -nan -nan -nan -nan -nan
-5.940887 1.803005 -nan -nan -nan -nan -nan
-5.940887 1.852069 -nan -nan -nan -nan -nan
-5.940887 1.901188 -nan -nan -nan -nan -nan
-5.940887 1.950363 -nan -nan -nan -nan -nan
-5.940887 1.999595 -nan -nan -nan -nan -nan
-5.940887 2.048886 -nan -nan -nan -nan -nan
-5.940887 2.098236 -nan -nan -nan -nan -nan
-5.940887 2.147647 -nan -nan -nan -nan -nan
-5.940887 2.197121 -nan -nan -nan -nan -nan
-5.940887 2.246658 -nan -nan -nan -nan -nan
-5.940887 2.296260 -nan -nan -nan -nan -nan
-5.940887 2.345928 -nan -nan -nan -nan -nan
-5.940887 2.395664 -nan -nan -nan -nan -nan
-5.940887 2.445468 -nan -nan -nan -nan -nan
-5.940887 2.495342 -nan -nan -nan -nan -nan
-5.940887 2.545287 -nan -nan -nan -nan -nan
-5.940887 2.595304 -nan -nan -nan -nan -nan
